Row,Day,Day.Of.Week,Date,Page.Loads,Cases,First.Time.Visits,Returning.Visits
1,Sunday,1,9/14/2014,2146,1582,143,152
2,Monday,2,9/15/2014,3621,2528,2297,231
3,Tuesday,3,9/16/2014,3698,263,2352,278
4,Wednesday,4,9/17/2014,3667,2614,2327,287
5,Thursday,5,9/18/2014,3316,2366,213,236
6,Friday,6,9/19/2014,2815,1863,1622,241
7,Saturday,7,9/20/2014,1658,1118,985,133
8,Sunday,1,9/21/2014,2288,1656,1481,175
9,Monday,2,9/22/2014,3638,2586,2312,274
10,Tuesday,3,9/23/2014,4462,3257,2989,268
11,Wednesday,4,9/24/2014,4414,3175,2891,284
12,Thursday,5,9/25/2014,4315,3029,2743,286
13,Friday,6,9/26/2014,3323,2249,2033,216
14,Saturday,7,9/27/2014,1656,118,104,140
15,Sunday,1,9/28/2014,2465,1806,1613,193
16,Monday,2,9/29/2014,4096,2873,2577,296
17,Tuesday,3,9/30/2014,4474,3032,272,312
18,Wednesday,4,10/1/2014,4124,2849,2541,308
19,Thursday,5,10/2/2014,3514,2489,2239,250
20,Friday,6,10/3/2014,3005,2097,1856,241
21,Saturday,7,10/4/2014,2054,1436,1274,162
22,Sunday,1,10/5/2014,2847,1913,1713,200
23,Monday,2,10/6/2014,4501,3181,2853,328
24,Tuesday,3,10/7/2014,4603,3163,2804,359
25,Wednesday,4,10/8/2014,4187,3014,2663,351
26,Thursday,5,10/9/2014,4343,2864,2545,319
27,Friday,6,10/10/2014,3565,2382,21,282
28,Saturday,7,10/11/2014,208,1457,128,177
29,Sunday,1,10/12/2014,3031,2089,1856,233
30,Monday,2,10/13/2014,4814,3339,2973,366
31,Tuesday,3,10/14/2014,504,3604,3217,387
32,Wednesday,4,10/15/2014,5028,3515,3094,421
33,Thursday,5,10/16/2014,4658,3331,2955,376
34,Friday,6,10/17/2014,3624,2477,2148,329
35,Saturday,7,10/18/2014,2285,1619,1416,203
36,Sunday,1,10/19/2014,3454,2346,206,286
37,Monday,2,10/20/2014,5307,3717,3308,409
38,Tuesday,3,10/21/2014,5135,3701,328,421
39,Wednesday,4,10/22/2014,5084,3611,3177,434
40,Thursday,5,10/23/2014,465,3316,294,376
41,Friday,6,10/24/2014,3571,2498,217,328
42,Saturday,7,10/25/2014,2354,1661,1417,244
43,Sunday,1,10/26/2014,3497,2508,2218,290
44,Monday,2,10/27/2014,5294,3737,3286,451
45,Tuesday,3,10/28/2014,4643,3328,2905,423
46,Wednesday,4,10/29/2014,4596,3279,2863,416
47,Thursday,5,10/30/2014,4162,3041,2657,384
48,Friday,6,10/31/2014,2933,2007,1728,279
49,Saturday,7,11/1/2014,2202,1496,127,226
50,Sunday,1,11/2/2014,3083,2204,194,264
51,Monday,2,11/3/2014,4376,3057,2629,428
52,Tuesday,3,11/4/2014,4704,3141,2739,402
53,Wednesday,4,11/5/2014,4306,32,2797,403
54,Thursday,5,11/6/2014,4178,3034,2627,407
55,Friday,6,11/7/2014,3236,2318,1975,343
56,Saturday,7,11/8/2014,201,1536,1345,191
57,Sunday,1,11/9/2014,2901,2141,1849,292
58,Monday,2,11/10/2014,4754,3325,2885,440
59,Tuesday,3,11/11/2014,4417,3203,2793,410
60,Wednesday,4,11/12/2014,4535,3351,2897,454
61,Thursday,5,11/13/2014,4274,3194,2758,436
